Sr. No.,Company,Symbol,Name,"Market Capitalisation 
(In lakhs)",Pink,Top,Instrument
239,ASTRAZEN,ASTRAZEN.NS,AstraZeneca Pharma India Limited,"600,963",0,0,1436161
240,KAJARIACER,KAJARIACER.NS,Kajaria Ceramics Limited,"597,415",0,0,462849
241,FINEORG,FINEORG.NS,Fine Organic Industries Limited,"584,394",0,0,958465
242,JCHAC,JCHAC.NS,Johnson Controls - Hitachi Air Conditioning India Limited,"581,926",0,0,1149697
243,GLENMARK,GLENMARK.NS,Glenmark Pharmaceuticals Limited,"580,843",0,0,1895937
244,TIMKEN,TIMKEN.NS,Timken India Limited,"577,078",0,0,3634689
245,TATACHEM,TATACHEM.NS,Tata Chemicals Limited,"569,508",0,0,871681
247,ITI,ITI.NS,ITI Limited,"562,868",0,0,428801
248,INDIAMART,INDIAMART.NS,Indiamart Intermesh Limited,"560,003",0,0,2745857
249,SYMPHONY,SYMPHONY.NS,Symphony Limited,"544,755",0,0,6192641
250,JMFINANCIL,JMFINANCIL.NS,JM Financial Limited,"544,591",0,0,3491073
251,CHOLAHLDNG,CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited,"544,370",0,1,5565441
252,NATIONALUM,NATIONALUM.NS,National Aluminium Company Limited,"542,895",0,0,1629185
253,CESC,CESC.NS,CESC Limited,"541,562",0,0,160769
254,DEEPAKNTR,DEEPAKNTR.NS,Deepak Nitrite Limited,"525,181",0,0,5105409
255,BLUEDART,BLUEDART.NS,Blue Dart Express Limited,"521,789",0,0,126721
256,MAHABANK,MAHABANK.NS,Bank of Maharashtra,"518,346",0,0,2912513
257,TIINDIA,TIINDIA.NS,Tube Investments of India Limited,"514,408",0,0,79873
258,BBTC,BBTC.NS,Bombay Burmah Trading Corporation Limited,"511,079",0,0,97281
259,ERIS,ERIS.NS,Eris Lifesciences Limited,"507,310",0,1,5415425
260,NH,NH.NS,Narayana Hrudayalaya Ltd.,"505,793",0,0,3031041
261,GRINDWELL,GRINDWELL.NS,Grindwell Norton Limited,"505,105",0,0,3471361
262,SHRIRAMCIT,SHRIRAMCIT.NS,Shriram City Union Finance Limited,"493,954",0,0,3005185
264,GODFRYPHLP,GODFRYPHLP.NS,Godfrey Phillips India Limited,"489,003",0,0,302337
265,FINPIPE,FINPIPE.NS,Finolex Industries Limited,"487,385",0,0,266497
266,BASF,BASF.NS,BASF India Limited,"487,072",0,0,94209
267,CREDITACC,CREDITACC.NS,CREDITACCESS GRAMEEN LIMITED,"485,182",0,0,1131777
268,ASTERDM,ASTERDM.NS,Aster DM Healthcare Limited,"480,724",0,0,386049
269,KEC,KEC.NS,KEC International Limited,"476,899",0,0,3394561
270,AEGISCHEM,AEGISCHEM.NS,Aegis Logistics Limited,"473,665",0,0,10241
271,UJJIVANSFB,UJJIVANSFB.NS,Ujjivan Small Finance Bank Limited,"471,805",0,0,3898369
272,APOLLOTYRE,APOLLOTYRE.NS,Apollo Tyres Limited,"454,208",0,0,41729
273,CHAMBLFERT,CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Limited,"451,377",0,0,163073
274,BLUESTARCO,BLUESTARCO.NS,Blue Star Limited,"442,514",0,0,2127617
275,VSTIND,VSTIND.NS,VST Industries Limited,"428,042",0,0,953345
276,RATNAMANI,RATNAMANI.NS,Ratnamani Metals & Tubes Limited,"424,010",0,0,3443457
277,PERSISTENT,PERSISTENT.NS,Persistent Systems Limited,"421,064",0,0,4701441
278,CHALET,CHALET.NS,Chalet Hotels Limited,"420,606",0,0,2187777
279,CARBORUNIV,CARBORUNIV.NS,Carborundum Universal Limited,"420,202",0,0,152321
280,GALAXYSURF,GALAXYSURF.NS,Galaxy Surfactants Limited,"417,817",0,0,336641
281,ORIENTELEC,ORIENTELEC.NS,Orient Electric Limited,"416,732",0,0,760833
282,DIXON,DIXON.NS,Dixon Technologies (India) Limited,"414,194",0,0,5552641
283,LINDEINDIA,LINDEINDIA.NS,Linde India Limited,"413,884",0,0,416513
284,IBULHSGFIN,IBULHSGFIN.NS,Indiabulls Housing Finance Limited,"413,678",0,1,7712001
285,JBCHEPHARM,JBCHEPHARM.NS,JB Chemicals & Pharmaceuticals Limited,"408,405",0,0,441857
286,MRPL,MRPL.NS,Mangalore Refinery and Petrochemicals Limited,"405,727",0,0,584449
287,AVANTIFEED,AVANTIFEED.NS,Avanti Feeds Limited,"400,903",0,0,2031617
288,HUDCO,HUDCO.NS,Housing & Urban Development Corporation Limited,"400,380",0,0,5331201
289,JUBILANT,JUBILANT.NS,Jubilant Life Sciences Limited,"396,929",1,1,931073
290,FRETAIL,FRETAIL.NS,Future Retail Limited,"393,535",0,0,4704769
291,TATAELXSI,TATAELXSI.NS,Tata Elxsi Limited,"391,781",0,0,873217
292,AMBER,AMBER.NS,Amber Enterprises India Limited,"386,934",0,0,303361
293,IEX,IEX.NS,Indian Energy Exchange Limited,"383,283",0,0,56321
294,ASAHIINDIA,ASAHIINDIA.NS,Asahi India Glass Limited,"379,585",0,0,1376769
295,ENGINERSIN,ENGINERSIN.NS,Engineers India Limited,"379,463",0,0,1256193
296,SPANDANA,SPANDANA.NS,Spandana Sphoorty Financial Limited,"377,008",0,0,2927361
297,EIHOTEL,EIHOTEL.NS,EIH Limited,"376,093",0,0,235265
298,CANFINHOME,CANFINHOME.NS,Can Fin Homes Limited,"371,567",0,0,149249
299,KIOCL,KIOCL.NS,KIOCL Limited,"368,180",0,0,4896257
300,GMMPFAUDLR,GMMPFAUDLR.NS,GMM Pfaudler Limited,"367,309",0,0,401921
301,GRANULES,GRANULES.NS,Granules India Limited,"365,227",0,0,3039233
302,VTL,VTL.NS,Vardhman Textiles Limited,"359,403",0,0,530689
303,EDELWEISS,EDELWEISS.NS,Edelweiss Financial Services Limited,"358,672",0,1,3870465
304,IRCON,IRCON.NS,Ircon International Limited,"358,384",0,0,1276417
305,RADICO,RADICO.NS,Radico Khaitan Limited,"357,804",0,0,2813441
306,COCHINSHIP,COCHINSHIP.NS,Cochin Shipyard Limited,"350,358",0,0,5506049
307,LAURUSLABS,LAURUSLABS.NS,Laurus Labs Limited,"347,258",0,0,4923905
308,NESCO,NESCO.NS,Nesco Limited,"344,655",0,0,3944705
309,RALLIS,RALLIS.NS,Rallis India Limited,"341,682",0,0,720897
310,VIPIND,VIPIND.NS,VIP Industries Limited,"339,374",0,0,947969
311,BDL,BDL.NS,Bharat Dynamics Limited,"339,345",0,0,548865
